,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
8,14,28,ECS,G2,28,LNX,OD,MO," SAR 1,527.90 ",,ECS,G2,28,WIN,OD,MO," SAR 2,850.46 ",,ECS,G2,28,RH,OD,MO," SAR 1,999.10 "
9,16,32,ECS,G2,32,LNX,OD,MO," SAR 1,746.18 ",,ECS,G2,32,WIN,OD,MO," SAR 3,257.66 ",,ECS,G2,32,RH,OD,MO," SAR 2,217.38 "
10,18,36,ECS,G2,36,LNX,OD,MO," SAR 1,964.45 ",,ECS,G2,36,WIN,OD,MO," SAR 3,664.87 ",,ECS,G2,36,RH,OD,MO," SAR 3,005.65 "
11,20,40,ECS,G2,40,LNX,OD,MO," SAR 2,182.72 ",,ECS,G2,40,WIN,OD,MO," SAR 4,072.08 ",,ECS,G2,40,RH,OD,MO," SAR 3,223.92 "
12,22,44,ECS,G2,44,LNX,OD,MO," SAR 2,400.99 ",,ECS,G2,44,WIN,OD,MO," SAR 4,479.29 ",,ECS,G2,44,RH,OD,MO," SAR 3,442.19 "
13,24,48,ECS,G2,48,LNX,OD,MO," SAR 2,619.26 ",,ECS,G2,48,WIN,OD,MO," SAR 4,886.50 ",,ECS,G2,48,RH,OD,MO," SAR 3,660.46 "
14,26,52,ECS,G2,52,LNX,OD,MO," SAR 2,837.54 ",,ECS,G2,52,WIN,OD,MO," SAR 5,293.70 ",,ECS,G2,52,RH,OD,MO," SAR 3,878.74 "
15,28,56,ECS,G2,56,LNX,OD,MO," SAR 3,055.81 ",,ECS,G2,56,WIN,OD,MO," SAR 5,700.91 ",,ECS,G2,56,RH,OD,MO," SAR 4,097.01 "
16,30,60,ECS,G2,60,LNX,OD,MO," SAR 3,274.08 ",,ECS,G2,60,WIN,OD,MO," SAR 6,108.12 ",,ECS,G2,60,RH,OD,MO," SAR 4,315.28 "
17,32,64,ECS,G2,64,LNX,OD,MO," SAR 3,492.35 ",,ECS,G2,64,WIN,OD,MO," SAR 6,515.33 ",,ECS,G2,64,RH,OD,MO," SAR 4,533.55 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:1),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,1,ECS,C1,1,LNX,OD,MO, SAR 84.27 ,,ECS,C1,1,WIN,OD,MO, SAR 146.35 ,,ECS,C1,1,RH,OD,MO, SAR 555.47 
2,2,2,ECS,C1,2,LNX,OD,MO, SAR 168.53 ,,ECS,C1,2,WIN,OD,MO, SAR 292.70 ,,ECS,C1,2,RH,OD,MO, SAR 639.73 
3,4,4,ECS,C1,4,LNX,OD,MO, SAR 337.06 ,,ECS,C1,4,WIN,OD,MO, SAR 585.39 ,,ECS,C1,4,RH,OD,MO, SAR 808.26 
4,6,6,ECS,C1,6,LNX,OD,MO, SAR 505.59 ,,ECS,C1,6,WIN,OD,MO, SAR 878.09 ,,ECS,C1,6,RH,OD,MO, SAR 976.79 
5,8,8,ECS,C1,8,LNX,OD,MO, SAR 674.12 ,,ECS,C1,8,WIN,OD,MO," SAR 1,170.78 ",,ECS,C1,8,RH,OD,MO," SAR 1,145.32 "
6,10,10,ECS,C1,10,LNX,OD,MO, SAR 842.65 ,,ECS,C1,10,WIN,OD,MO," SAR 1,463.48 ",,ECS,C1,10,RH,OD,MO," SAR 1,313.85 "
7,12,12,ECS,C1,12,LNX,OD,MO," SAR 1,011.18 ",,ECS,C1,12,WIN,OD,MO," SAR 1,756.17 ",,ECS,C1,12,RH,OD,MO," SAR 1,482.38 "
8,14,14,ECS,C1,14,LNX,OD,MO," SAR 1,179.71 ",,ECS,C1,14,WIN,OD,MO," SAR 2,048.87 ",,ECS,C1,14,RH,OD,MO," SAR 1,650.91 "
9,16,16,ECS,C1,16,LNX,OD,MO," SAR 1,348.24 ",,ECS,C1,16,WIN,OD,MO," SAR 2,341.56 ",,ECS,C1,16,RH,OD,MO," SAR 1,819.44 "
10,18,18,ECS,C1,18,LNX,OD,MO," SAR 1,516.77 ",,ECS,C1,18,WIN,OD,MO," SAR 2,634.26 ",,ECS,C1,18,RH,OD,MO," SAR 2,557.97 "
11,20,20,ECS,C1,20,LNX,OD,MO," SAR 1,685.30 ",,ECS,C1,20,WIN,OD,MO," SAR 2,926.95 ",,ECS,C1,20,RH,OD,MO," SAR 2,726.50 "
12,22,22,ECS,C1,22,LNX,OD,MO," SAR 1,853.83 ",,ECS,C1,22,WIN,OD,MO," SAR 3,219.65 ",,ECS,C1,22,RH,OD,MO," SAR 2,895.03 "
13,24,24,ECS,C1,24,LNX,OD,MO," SAR 2,022.36 ",,ECS,C1,24,WIN,OD,MO," SAR 3,512.34 ",,ECS,C1,24,RH,OD,MO," SAR 3,063.56 "
14,26,26,ECS,C1,26,LNX,OD,MO," SAR 2,190.89 ",,ECS,C1,26,WIN,OD,MO," SAR 3,805.04 ",,ECS,C1,26,RH,OD,MO," SAR 3,232.09 "
15,28,28,ECS,C1,28,LNX,OD,MO," SAR 2,359.42 ",,ECS,C1,28,WIN,OD,MO," SAR 4,097.73 ",,ECS,C1,28,RH,OD,MO," SAR 3,400.62 "
16,30,30,ECS,C1,30,LNX,OD,MO," SAR 2,527.95 ",,ECS,C1,30,WIN,OD,MO," SAR 4,390.43 ",,ECS,C1,30,RH,OD,MO," SAR 3,569.15 "
17,32,32,ECS,C1,32,LNX,OD,MO," SAR 2,696.48 ",,ECS,C1,32,WIN,OD,MO," SAR 4,683.12 ",,ECS,C1,32,RH,OD,MO," SAR 3,737.68 "
18,64,64,ECS,C1,64,LNX,OD,MO," SAR 5,392.96 ",,ECS,C1,64,WIN,OD,MO," SAR 9,366.24 ",,ECS,C1,64,RH,OD,MO," SAR 6,434.16 "
19,128,128,ECS,C1,128,LNX,OD,MO," SAR 10,785.92 ",,ECS,C1,128,WIN,OD,MO," SAR 18,732.48 ",,ECS,C1,128,RH,OD,MO," SAR 11,827.12 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:0.5),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,2,1,ECS,C2,1,LNX,OD,MO, SAR 143.66 ,,ECS,C2,1,WIN,OD,MO, SAR 235.44 ,,ECS,C2,1,RH,OD,MO, SAR 614.86 
2,4,2,ECS,C2,2,LNX,OD,MO, SAR 287.32 ,,ECS,C2,2,WIN,OD,MO, SAR 470.88 ,,ECS,C2,2,RH,OD,MO, SAR 758.52 
3,6,3,ECS,C2,3,LNX,OD,MO, SAR 430.98 ,,ECS,C2,3,WIN,OD,MO, SAR 706.32 ,,ECS,C2,3,RH,OD,MO, SAR 902.18 
4,8,4,ECS,C2,4,LNX,OD,MO, SAR 574.64 ,,ECS,C2,4,WIN,OD,MO, SAR 941.75 ,,ECS,C2,4,RH,OD,MO," SAR 1,045.84 "
5,10,5,ECS,C2,5,LNX,OD,MO, SAR 718.30 ,,ECS,C2,5,WIN,OD,MO," SAR 1,177.19 ",,ECS,C2,5,RH,OD,MO," SAR 1,189.50 "
6,12,6,ECS,C2,6,LNX,OD,MO, SAR 861.95 ,,ECS,C2,6,WIN,OD,MO," SAR 1,412.63 ",,ECS,C2,6,RH,OD,MO," SAR 1,333.15 "
7,14,7,ECS,C2,7,LNX,OD,MO," SAR 1,005.61 ",,ECS,C2,7,WIN,OD,MO," SAR 1,648.07 ",,ECS,C2,7,RH,OD,MO," SAR 1,476.81 "
8,16,8,ECS,C2,8,LNX,OD,MO," SAR 1,149.27 ",,ECS,C2,8,WIN,OD,MO," SAR 1,883.51 ",,ECS,C2,8,RH,OD,MO," SAR 1,620.47 "
9,18,9,ECS,C2,9,LNX,OD,MO," SAR 1,292.93 ",,ECS,C2,9,WIN,OD,MO," SAR 2,118.95 ",,ECS,C2,9,RH,OD,MO," SAR 2,334.13 "
10,20,10,ECS,C2,10,LNX,OD,MO," SAR 1,436.59 ",,ECS,C2,10,WIN,OD,MO," SAR 2,354.39 ",,ECS,C2,10,RH,OD,MO," SAR 2,477.79 "
